age,gender,location,education,class,primary SM,dly use,exposed,trust,anti-vacc
45-54,Female,NA U.S.,Highest,Mid,FB,3-4,1,Doc,0
25-34,Female,Afr,Bach,Mid,FB,0-2,1,Doc,0
55-64,Male,NA other,Assoc,Mid,FB,0-2,0,Doc,0
18-24,Female,NA U.S.,Assoc,Low,Twitt,3-4,1,Doc,1
18-24,Female,EU,9-13,Mid,FB,0-2,1,Doc,0
45-54,Female,Aus/Ocea,Bach,Mid,FB,0-2,1,Doc,0
35-44,Female,NA U.S.,Assoc,Mid,FB,3-4,1,Doc,0
35-44,Female,NA U.S.,Bach,Mid,FB,3-4,1,Doc,0
55-64,Male,Aus/Ocea,9-13,Low,FB,3-4,1,Doc,0
25-34,Male,NA U.S.,Master,Mid,FB,3-4,1,Doc,0
55-64,Female,EU,Bach,Mid,FB,0-2,1,Gov,0
45-54,Male,NA U.S.,Highest,Mid,FB,3-4,1,Doc,0
25-34,Female,NA U.S.,Bach,Mid,IG,3-4,1,Doc,0
25-34,Female,Aus/Ocea,Assoc,Mid,FB,3-4,1,Gov,0
35-44,Female,NA U.S.,Assoc,Mid,FB,0-2,1,Doc,0
35-44,Female,NA U.S.,Master,Mid,FB,0-2,1,Doc,0
35-44,Female,NA other,Assoc,Mid,FB,3-4,1,Web,1
18-24,Female,NA U.S.,9-13,Low,Twitt,5-6,1,Doc,1
65+,Male,NA U.S.,Bach,Mid,Twitt,0-2,1,Web,0
25-34,Male,Aus/Ocea,Bach,Mid,FB,0-2,1,Doc,0
18-24,Female,NA U.S.,9-13,Low,IG,5-6,1,Doc,0
35-44,Female,NA U.S.,Assoc,Mid,FB,3-4,1,Doc,0
45-54,Female,NA U.S.,Assoc,Mid,Twitt,0-2,1,Doc,0
25-34,Female,NA U.S.,9-13,Mid,Twitt,3-4,1,Doc,0
45-54,Female,NA U.S.,Assoc,Mid,FB,0-2,1,Doc,1
35-44,Female,NA U.S.,9-13,Mid,FB,3-4,1,Doc,0
18-24,Female,NA U.S.,9-13,Mid,IG,3-4,0,Doc,0
55-64,Female,NA U.S.,Master,Mid,FB,0-2,1,Doc,0
35-44,Female,NA U.S.,Bach,Mid,FB,3-4,1,Doc,1
65+,Male,Aus/Ocea,9-13,Mid,FB,5-6,1,Doc,0
45-54,Female,NA U.S.,Assoc,Mid,IG,3-4,1,Doc,0
35-44,Female,NA U.S.,9-13,Mid,FB,3-4,0,Doc,0
45-54,Female,Aus/Ocea,Assoc,Mid,FB,0-2,1,Doc,0
35-44,Female,NA U.S.,Bach,Low,Twitt,0-2,1,Doc,0
35-44,Female,NA U.S.,Bach,Low,FB,3-4,1,Doc,0
45-54,Male,NA U.S.,Assoc,Mid,FB,0-2,1,Doc,0
18-24,Female,NA U.S.,Bach,Mid,IG,0-2,1,Doc,0
45-54,Female,NA U.S.,Assoc,Mid,FB,0-2,1,Doc,1
45-54,Male,NA U.S.,9-13,Mid,FB,0-2,1,Doc,0
25-34,Male,NA U.S.,Bach,Mid,FB,0-2,1,Doc,0
35-44,Female,NA U.S.,9-13,Mid,FB,5-6,1,Doc,0
35-44,Female,NA U.S.,Master,Upp,FB,0-2,1,Doc,0
45-54,Female,NA U.S.,Bach,Mid,FB,0-2,1,Doc,0
18-24,Male,NA U.S.,9-13,Upp,Twitt,3-4,1,Fam,1
18-24,Female,NA U.S.,9-13,Mid,FB,5-6,1,Doc,0
25-34,Male,NA other,Bach,Mid,FB,0-2,0,Doc,1
25-34,Female,NA U.S.,Assoc,Mid,IG,3-4,1,Doc,0
18-24,Female,NA U.S.,9-13,Low,FB,3-4,1,Doc,0
25-34,Female,Aus/Ocea,Highest,Mid,IG,0-2,1,Doc,0
25-34,Female,NA U.S.,Bach,Low,FB,0-2,1,Doc,0
